#x, y_1, y_2
2.389998, 0.029413, 0.431994
2.399998, 0.029620, 0.427801
2.409998, 0.029832, 0.423650
2.419998, 0.030050, 0.419540
2.429998, 0.030273, 0.415471
2.439998, 0.030501, 0.411442
2.449998, 0.030734, 0.407453
2.459998, 0.030973, 0.403503
2.469998, 0.031218, 0.399593
2.479998, 0.031468, 0.395722
2.489998, 0.031724, 0.391889
2.499998, 0.031985, 0.388095
2.509998, 0.032253, 0.384338
2.519998, 0.032526, 0.380619
2.529998, 0.032805, 0.376936
2.539998, 0.033090, 0.373291
2.549998, 0.033381, 0.369681
2.559998, 0.033679, 0.366108
2.569998, 0.033982, 0.362570
2.579998, 0.034292, 0.359067
2.589998, 0.034609, 0.355600
2.599998, 0.034932, 0.352167
2.609998, 0.035261, 0.348768
2.619998, 0.035598, 0.345404
2.629998, 0.035941, 0.342073
2.639998, 0.036291, 0.338775
2.649998, 0.036648, 0.335510
2.659998, 0.037012, 0.332278
2.669998, 0.037383, 0.329078
2.679998, 0.037762, 0.325910
2.689998, 0.038148, 0.322774
2.699998, 0.038541, 0.319670
2.709998, 0.038943, 0.316596
2.719998, 0.039351, 0.313553
2.729998, 0.039768, 0.310541
2.739998, 0.040193, 0.307559
2.749998, 0.040626, 0.304607
2.759998, 0.041068, 0.301685
2.769998, 0.041517, 0.298792
2.779998, 0.041975, 0.295928
2.789998, 0.042442, 0.293093
2.799998, 0.042918, 0.290287
2.809998, 0.043402, 0.287508
2.819998, 0.043896, 0.284758
2.829998, 0.044399, 0.282035
2.839998, 0.044911, 0.279340
2.849998, 0.045433, 0.276672
2.859998, 0.045965, 0.274031
2.869998, 0.046506, 0.271417
2.879998, 0.047058, 0.268829
2.889998, 0.047619, 0.266267
2.899998, 0.048191, 0.263731
2.909998, 0.048774, 0.261221
2.919998, 0.049367, 0.258736
2.929998, 0.049971, 0.256277
2.939998, 0.050587, 0.253842
2.949998, 0.051213, 0.251432
2.959998, 0.051851, 0.249046
2.969998, 0.052501, 0.246685
2.979998, 0.053162, 0.244348
2.989998, 0.053836, 0.242034
2.999998, 0.054521, 0.239744
3.009998, 0.055220, 0.237477
3.019998, 0.055931, 0.235234
3.029998, 0.056655, 0.233013
3.039998, 0.057392, 0.230815
3.049998, 0.058142, 0.228639
3.059998, 0.058906, 0.226486
3.069998, 0.059684, 0.224354
3.079998, 0.060476, 0.222245
3.089998, 0.061282, 0.220157
3.099998, 0.062103, 0.218090
3.109998, 0.062939, 0.216045
3.119998, 0.063790, 0.214020
3.129997, 0.064656, 0.212016
3.139997, 0.065538, 0.210033
3.149997, 0.066436, 0.208071
3.159997, 0.067350, 0.206128
3.169997, 0.068280, 0.204206
3.179997, 0.069228, 0.202303
3.189997, 0.070192, 0.200420
3.199997, 0.071174, 0.198557
3.209997, 0.072173, 0.196712
3.219997, 0.073191, 0.194887
3.229997, 0.074227, 0.193081
3.239997, 0.075281, 0.191293
3.249997, 0.076355, 0.189525
3.259997, 0.077448, 0.187774
3.269997, 0.078561, 0.186042
3.279997, 0.079693, 0.184327
3.289997, 0.080846, 0.182631
3.299997, 0.082020, 0.180952
3.309997, 0.083216, 0.179291
3.319997, 0.084432, 0.177648
3.329997, 0.085671, 0.176021
3.339997, 0.086932, 0.174412
3.349997, 0.088216, 0.172819
3.359997, 0.089523, 0.171243
3.369997, 0.090853, 0.169684
